LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,GDP,TOT,USD_CAP,A,1970,3829.731721,E
AUT,GDP,TOT,USD_CAP,A,1971,4210.441192,E
AUT,GDP,TOT,USD_CAP,A,1972,4638.534351,E
AUT,GDP,TOT,USD_CAP,A,1973,5103.430018,E
AUT,GDP,TOT,USD_CAP,A,1974,5772.158418,E
AUT,GDP,TOT,USD_CAP,A,1975,6300.543674,E
AUT,GDP,TOT,USD_CAP,A,1976,6963.477714,E
AUT,GDP,TOT,USD_CAP,A,1977,7768.883976,E
AUT,GDP,TOT,USD_CAP,A,1978,8304.538089,E
AUT,GDP,TOT,USD_CAP,A,1979,9491.450941,E
AUT,GDP,TOT,USD_CAP,A,1980,10527.9981,E
AUT,GDP,TOT,USD_CAP,A,1981,11478.23485,E
AUT,GDP,TOT,USD_CAP,A,1982,12423.59736,E
AUT,GDP,TOT,USD_CAP,A,1983,13315.53543,E
AUT,GDP,TOT,USD_CAP,A,1984,13803.86345,E
AUT,GDP,TOT,USD_CAP,A,1985,14589.37557,E
AUT,GDP,TOT,USD_CAP,A,1986,15216.03718,E
AUT,GDP,TOT,USD_CAP,A,1987,15793.91642,E
AUT,GDP,TOT,USD_CAP,A,1988,16866.05059,E
AUT,GDP,TOT,USD_CAP,A,1989,18126.71073,E
AUT,GDP,TOT,USD_CAP,A,1990,19473.50451,E
AUT,GDP,TOT,USD_CAP,A,1991,20618.03694,E
AUT,GDP,TOT,USD_CAP,A,1992,21293.74118,E
AUT,GDP,TOT,USD_CAP,A,1993,21733.35372,E
AUT,GDP,TOT,USD_CAP,A,1994,22643.34432,E
AUT,GDP,TOT,USD_CAP,A,1995,23698.62927,
AUT,GDP,TOT,USD_CAP,A,1996,24561.1605,
AUT,GDP,TOT,USD_CAP,A,1997,25427.22674,
AUT,GDP,TOT,USD_CAP,A,1998,26676.2465,
AUT,GDP,TOT,USD_CAP,A,1999,27606.48424,
AUT,GDP,TOT,USD_CAP,A,2000,29380.03111,
AUT,GDP,TOT,USD_CAP,A,2001,29707.46226,
AUT,GDP,TOT,USD_CAP,A,2002,31178.05144,
AUT,GDP,TOT,USD_CAP,A,2003,32158.22591,
